13;На ул. Дружбы и ул.Брестской делается ремонт вполне хороших тротуаров, а до светофора дорожку так и оставили в ужасном состоянии. Торчат штыри и арматура. Дети ходят в лицей через неё. В дни, когда идут дожди, там не возможно пройти. Вчера я упала и повредила колено. Просьба принять меры и исправить проблему.;27:Несвоевременная уборка территории контейнерной площадки:15;30:Вытоптанный, заезженный газон:12;83:Некомпетентность специалиста МФЦ:11;
14;"На каком основании частное лицо перекрыло муниципальную дорогу? Тем более само название улицы гласит само за себя ""ул.Проезжая"".";26:Нарушение графика вывоза мусора с контейнерной площадки:50;81:Длительное время обслуживания в МФЦ:50;28:Скопление мусора в парках, скверах:42;
15;"Перед регулируемым пешеходным переходом через проезжую часть по улице Пролетарская (остановка &quot;Ж/д больница&quot;) торчит арматура. Опасность травмирования пешеходов. Требуется срочно её демонтировать.";48:Снег, сосульки на крыше остановочного павильона:70;30:Вытоптанный, заезженный газон:37;22:Неисправное освещение на дорогах:33;
16;повреждение элементов сцены.;10:Повреждения остановочного павильона:81;74:Отсутствие повреждение урны на остановке:81;77:Повреждение контейнерной площадки контейнеров:81;
17;"Добрый день!Ремонт моста закончен, а проблему обсыпания края моста так и не устранили. Куски бетона падают в низ, там ходят люди.";8:Неисправный светофор:37;3:Стертая дорожная разметка:33;5:Неисправное освещение во дворах:33;
20;Дорожное покрытие двора испорчено ещё в 20 году, однако никак не подвергся ремонту. Также на ул.Цветной бульвар разрушилось часть дорожного полотна из-за его плохого качества. Из-за этого рядом со стадионом затруднено движение и парковка машин;61:Несоблюдение маршрута:42;82:Невежливое обслуживание в МФЦ:40;83:Некомпетентность специалиста МФЦ:33;
21;Год тому назад проводилась замена труб на тротуаре вдоль дома №28. Траншею закопали и успешно забыли. Земля проседает, весной и после дождей летом грязь. И всё это в центре Орска, напротив Городской администрации. Стыдно за свой родной город!!!;4:Неисправное уличное освещение:33;81:Длительное время обслуживания в МФЦ:33;84:Содержание помещений МФЦ:19;
22;здравствуйте, после ремонтных работ теплосетей если не ошибаюсь оставили бардак,а ведь начнутся дожди будет грязь, слякоть;6:Неисправное освещение в парках:50;12:Ямы, выбоины, выступы на дороге, тротуаре:50;13:Ямы, выбоины, выступы на придомовой территории:50;
23;"В рамках капитального ремонта улицы Пролетарская (от ул. Ноябрьская до ул. Шевченко) не был благоустроен подход к пешеходному переходу через проезжую часть по улице Пролетарская напротив ТЦ &quot;Берёзки&quot;. Прошу устранить данное замечание в кратчайший срок!";75:Незаконные объявления, надписи, изображения на павильоне:41;82:Невежливое обслуживание в МФЦ:37;63:Некорректное поведение водителя кондуктора:33;
24;Ямы в дороге;15:Открытый (просевший) люк или ливневка на дороге:83;19:Реклама на тротуаре вдоль дорог:83;21:Неисправность недоступность инфраструктуры для маломобильных граждан колясок на дорогах:83;
25;Дорога по ул Аксакова от ул Спортивной и до пер Осенний вся в ямах .После дождя пройти по улице очень затруднительно , дети вынуждены идти в школу по другим улицам. Когда вызываем такси не один таксист сюда не хочет ехать .Просим вас произвести ремонт дорожного полотна;83:Некомпетентность специалиста МФЦ:33;48:Снег, сосульки на крыше остановочного павильона:14;75:Незаконные объявления, надписи, изображения на павильоне:12;
26;Прошу вас отремонтировать въезд во дворы домов 8, 10, 10/1 со стороны ул. Высотной.;4:Неисправное уличное освещение:40;27:Несвоевременная уборка территории контейнерной площадки:40;8:Неисправный светофор:37;
27;По улице Аксакова дорога требует ремонта . От ул Спортивной до переулка Осенний . Просим вас , так как наши дети каждый день ходят по этой дороге домой со школы , а если прошел дождь им приходится обходить по другим улицам;59:Неудовлетворительное санитарное состояние транспортного средства:40;83:Некомпетентность специалиста МФЦ:33;28:Скопление мусора в парках, скверах:14;
28;Разбитый тротуар между домами Салмышская, 14 и Юных Ленинцев, 18 - выход на перекресток и сквер Салмышского Боя;26:Нарушение графика вывоза мусора с контейнерной площадки:60;44:Снег, наледь на входных группах, перилах:60;28:Скопление мусора в парках, скверах:42;
29;Здравствуйте. На пересечении ул. Транспортной и пр. Победы(в районе жк ласточкино гнездо), около светофора, глубокая яма. Не могу с июня 2021 ничего добиться, только все принимают заявки и ничего не исполняют!!!!! Скоро осень, все будут попадать в яму. Убедительная просьба, заделайте яму.;70:Содержание территории детских садов:37;8:Неисправный светофор:33;46:Некачественное содержание катков:33;
30;"Здравствуйте. Уже много лет жители у домов Лабужского 2а и улицы Народной борятся с администрацией по благоустройству дороги соединяющей улицу Лабужского с улицей Новой.Но, увы, их никтоине слышит. Постоен новый квартал, очень много маленьких детей, которым не на велосипеде проехать, не на коляске прокатить, а про машины... Так не давно делали дорогу на Лабужского, и наверно, чтоб создать видимость кинули амыальтной крошки в ямы, не загредеровав их и не разровняв. Что ж мы не люди что ли, почему такое отношение, почему нельзя сделать по человечески. До этого у нас просто были пыльные ямы а теперь асыальтные. Прости принять меры.";61:Несоблюдение маршрута:42;8:Неисправный светофор:37;36:Некачественный уход за деревьями, кустарниками вдоль пешеходных дорожек, тротуаров (кронирование, вырубка сухостоев, ликвидация аварийных деревьев) в парках:9;
35;провалился асфальт,перекресток Зиновьев,пер.Грабовский уже с весны;44:Снег, наледь на входных группах, перилах:60;6:Неисправное освещение в парках:50;25:Мусор на придомовой территории:45;
36;здравствуйте, делали тротуар,но не доделали дорожку..;3:Стертая дорожная разметка:71;5:Неисправное освещение во дворах:50;12:Ямы, выбоины, выступы на дороге, тротуаре:50;
37;Добрый день! Прошу организовать адекватные переправы через коммуникационные рвы до зданий общего пользования;4:Неисправное уличное освещение:55;8:Неисправный светофор:55;73:Несанкционированное размещение граффити на мемориальных объектах:50;
38;"3 недели разрушено покрытие.;26:Нарушение графика вывоза мусора с контейнерной площадки:66;40:Нарушение норм применения противогололедных материалов на проезжей части, тротуаре:66;45:Нарушение норм применения противогололедных материалов в парках, скверах:66;
39;требую устранить";53:Проблемы при получении социальной помощи на устранение аварийных ситуаций и ремонт инженерных сетей жилого помещения:66;29:Грязь, мусор на остановке:44;37:Некачественный уход за деревьями, кустарниками на придомовой территории (кронирование, вырубка сухостоев, ликвидация аварийных деревьев) во дворах:44;
42;На участке дороги по ул. НОВАЯ при движении с ул. Башиловых не доезжая до трк гулливер, на левом повороте съезд к автомойке - большая яма. Просим заделать.;84:Содержание помещений МФЦ:50;77:Повреждение контейнерной площадки контейнеров:44;28:Скопление мусора в парках, скверах:37;
43;Пропасть, провал, возле Дома Б.;43:Снег, сосульки на крыше дома:75;12:Ямы, выбоины, выступы на дороге, тротуаре:42;17:Реклама на тротуаре:42;
44;Разбитый участок дороги 100 м.;15:Открытый (просевший) люк или ливневка на дороге:83;19:Реклама на тротуаре вдоль дорог:83;21:Неисправность недоступность инфраструктуры для маломобильных граждан колясок на дорогах:83;
45;Асфальтное покрытие в городе Орск от проспекта Мира 2 до ул.Металлистов 3 находится в не нормативном состоянии на протяжении 5 лет.;12:Ямы, выбоины, выступы на дороге, тротуаре:50;34:Ямы, выбоины, выступы на пешеходной дорожке, тротуаре:50;82:Невежливое обслуживание в МФЦ:36;
46;Прошу проверить состояние автодороги посёлок Ленина ул. Дорожная на соответствие требованиям ГОСТ P50597-93;63:Некорректное поведение водителя кондуктора:44;4:Неисправное уличное освещение:40;28:Скопление мусора в парках, скверах:33;
47;Огромная дыра в асфальте, ограждение ее не закрывает, внизу лежат палки с торчащими гвоздями. В связи с тем, что вокруг находятся одни стройки, попасть в детский сад №19 корп. 2 возможно только с улицы Саморядова, то есть люди с маленькими детьми постоянно проходят мимо этой ямы и могут по неосторожности упасть вниз. Прошу закрыть данную яму и сделать возможным проход к детскому саду №19 корп.2 не только с данной улицы;8:Неисправный светофор:35;81:Длительное время обслуживания в МФЦ:16;61:Несоблюдение маршрута:14;
48;тротуар бани на тагильской 39. не ровно положили асфальт люди спатыкаются и часто падают;15:Открытый (просевший) люк или ливневка на дороге:50;48:Снег, сосульки на крыше остановочного павильона:50;75:Незаконные объявления, надписи, изображения на павильоне:50;
49;Добрый день. По адресу ул. Гагарина, 35 (дорога между домом и д/с №200) глубокие ямы и выбоины, затрудняют движение автомобилей.;13:Ямы, выбоины, выступы на придомовой территории:50;25:Мусор на придомовой территории:50;31:Нескошенная трава на придомовой территории:50;
50;Здравствуйте! Жители города Бугуруслана обращаются с просьбой отремонтировать дорогу по ул. Соловьиная, и где пересекается с ул. Тульская, так как дорога находится в неудовлетворительном состоянии. На нашей улице проживает очень много детей, которые ходят как в школу, так и в детский сад, но по этой дороге невозможно ходить, так как отсутствует твёрдое покрытие, особенно в весенне-осенний период во время распутицы. В этот период времени ни скорая помощь, ни пожарная не могут проехать по этой дороге. Очень просим Вас помочь в решении данной проблемы.;61:Несоблюдение маршрута:42;8:Неисправный светофор:33;30:Вытоптанный, заезженный газон:11;
51;Просел грунт и образовалась яма на тротуаре со стороны проспекта у дома 39 по пр. Ленина в г. Орске.;8:Неисправный светофор:37;4:Неисправное уличное освещение:33;5:Неисправное освещение во дворах:33;
52;Дорога в ужасном состоянии,не проехать не пройти.Очень просим о помощи в разрешении данного обращения.;4:Неисправное уличное освещение:44;6:Неисправное освещение в парках:44;27:Несвоевременная уборка территории контейнерной площадки:37;
53;"На тротуаре возле входа в СК ""Олимпийский"" плитка разрушилась и провалилась, ходить стало опасно, особенно для пенсионеров. Прошу отремонтировать данный участок тротуара.";72:Несанкционированное размещение граффити на городских и муниципальных объектах:53;76:Некачественное содержание детской площадки:40;8:Неисправный светофор:37;
54;"Уважаемые господа! Обращаются к Вам за помощью жильцы многоквартирных домов Туркестанская 39/3, 39/1. Во время ремонта улицы Туркестанской весь поток автомобилей проходил по нашему двору, который для этого не предназначен,построен был в далекие 60е годы,нет даже тротуара для пешеходов а дом находится между двумя детскими садиками № 33 и № 133. В результате интенсивной эксплуатации участок дороги возле домов и участок дороги с ул.Уральской д лицея № 5 длиной 50-70м пришел в аварийное состояние, по которому проходить не безопасно, особенно родителям с детьми. Просим Вас оказать содействие в решении данного вопроса.С уважением Спирин ВН и жильцы нашего дома.";37:Некачественный уход за деревьями, кустарниками на придомовой территории (кронирование, вырубка сухостоев, ликвидация аварийных деревьев) во дворах:9;13:Ямы, выбоины, выступы на придомовой территории:8;18:Реклама на тротуаре во дворах:8;
57;"В нашем районе вокзала в Старом городе отремонтировали много улиц - спасибо огромное! Но перекрёсток ул. Вокзальной и Вокзального шоссе остался отремонтированным НАПОЛОВИНУ!Из-за этого автовладельцы вынужденно выезжают на встречную полосу на перекрёстке, чтобы хоть как-то разъехаться встречным машинам! Это создаёт постоянную ПРЕДАВАРИЙНУЮ СИТУАЦИЮ! На этом же перекррёстке, при повороте на Вокзальное шоссе со стороны компании ШАР, сплошная череда РЫТВИН! И снова люди стремятся объезжать эти колдобины по встрече. Пожалуйста, пока ещё можно до слякоти и зимы это место отремонтировать - сделайте что-нибудь! Жители вокзала, посёлка Кирпичный и ОЗТП будут Вам очень-очень благодарны!";84:Содержание помещений МФЦ:33;83:Некомпетентность специалиста МФЦ:16;28:Скопление мусора в парках, скверах:13;
64;Здравствуйте! Месяц назад на ул. Степана Разина демонтировали бордюры, разрушили тротуары, при этом сделав невозможным заезд на автомобилях во дворы частных домов. За этот месяц никаких работ исполнитель ремонтных работ не вёл и не ведёт по состоянию на сегодня. Кто-нибудь контролирует работу подрядчика? Есть вообще график работ или подрядчик предоставлен сам себе? Зачем нужно было срочно выковыривать бордюры, если никто их укладывать пока не собирается? Вы хотите повторить прошлогоднюю ситуацию с Туркестанской?;2:Противоречия при установке дорожных знаков разметки светофора, неправильно установленные дорожные знаки разметка светофор:9;56:Проблемы при организации направления одаренного ребенка в федеральные детские центры "Артек", "Смена", "Орленок":9;67:Незаконный сбор денег в образовательных организациях:9;
65;Б - безбарьерная среда по оренбургски. Перекресток Новой и Пролетарской около трк Гулливер. Не доделали тольуар и решили, что и так сойдет. Подумаешь нагрузка на ГКБ 4 немного увеличится.;61:Несоблюдение маршрута:40;81:Длительное время обслуживания в МФЦ:40;83:Некомпетентность специалиста МФЦ:40;
66;на улице карагандинской рядом с трк сокол коммунальная служба латала провал под асфальтом и оставили после себя ямку засыпав её песком, песок вымыть дождями и теперь машины ломают себе подвеску. прошу заасфальтировать эту полоску;82:Невежливое обслуживание в МФЦ:50;61:Несоблюдение маршрута:42;30:Вытоптанный, заезженный газон:33;
67;Здравствуйте! Хотелось бы обратить внимание на отвратительное состояние покрытия на дороге на больничном проезде 10 между домами 8 и 8а. Такая ситуация уже более 7 лет. Дорога является подъездом к областной детской стоматологии и естественно каждый день десятки машин. Неоднократно тут пробивали колёса и царапали низ машин. Прошу обратить внимание и исправить данный участок дороги;28:Скопление мусора в парках, скверах:42;83:Некомпетентность специалиста МФЦ:33;61:Несоблюдение маршрута:18;
68;Здравствуйте, в Орске на против дома по ул.Сорокина 22, на дорожном покрытии яма. Прошу помочь в решении этой проблемы. Заранее спасибо.;30:Вытоптанный, заезженный газон:42;84:Содержание помещений МФЦ:42;4:Неисправное уличное освещение:40;
69;Добрый день!Проблема заключается в том, что по этой лестнице опасно спускаться в подниматься. Там ежедневно ходят работающие люди, и пенсионеры, и скоро дети пойдут в школу, и сады. Другого варианта (спуска-подъема)просто нет. По дороге грязь, ямы , это единственный вариант как добраться до города быстрее пешком. А что будет, когда погода испортится, когда гололед? Помогите, пожалуйста, отремонтировать ступеньки.;83:Некомпетентность специалиста МФЦ:40;8:Неисправный светофор:37;61:Несоблюдение маршрута:16;
70;На дороге, ведущей к дому 9А по ул. Пацаева в г. Орске глубокие ямы.;66:Питание в образовательных организациях или организация питания в учебных заведениях:50;63:Некорректное поведение водителя кондуктора:42;4:Неисправное уличное освещение:40;
71;Здравствуйте.участок дороги по ул. Орджоникидзе находящийся между улицами Краснознаменная и ул.Кирова в многочисленных ямах,на фото это не передать, только проехать на машине ,чтобы понять.хотябы отсыпать срезом.;81:Длительное время обслуживания в МФЦ:50;46:Некачественное содержание катков:42;61:Несоблюдение маршрута:42;
72;Здравствуйте, подскажите пожалуйста, когда будут произведены работы по устранению ям на пешеходном переходе перекрёстка улиц Родимцева и Брестской, в районе остановки Родимцева. Сам пешеходный переход не оборудован, нет спуска с тротуара. Так теперь и ямы разрослись, что практически не возможно по нему ходить.;81:Длительное время обслуживания в МФЦ:60;82:Невежливое обслуживание в МФЦ:60;84:Содержание помещений МФЦ:45;
73;Тротуарная плитка сильно повреждена и создает опасность для граждан. В целом как и повреждения ступенек в подземном переходе;32:Нескошенная трава вдоль тротуаров и обочин дорог:70;30:Вытоптанный, заезженный газон:42;59:Неудовлетворительное санитарное состояние транспортного средства:40;
74;Здравствуйте, за домом по адресу ул.Комарова 20. на дорожном покрытии ямы. Прошу помочь решить данную проблему. Спасибо.;66:Питание в образовательных организациях или организация питания в учебных заведениях:50;12:Ямы, выбоины, выступы на дороге, тротуаре:42;34:Ямы, выбоины, выступы на пешеходной дорожке, тротуаре:42;
75;При подготовке к работам «Росводоканал Оренбург» по прокладке трубопровода методом горизонтально-наклонного бурения по ул. Ваана-Теряна от ул. Одесской до ул. Кардонная, проводились работы по вскрытию участков дорожного покрытия по выявлению пересечений с другими коммуникациями. На участке дорожного покрытия по ул. Ваана-Теряна между домами 22 и 24 проводилось вскрытие полотна дороги, после чего участок был засыпан. Но при работах по восстановлению дорожного полотна участок не был отремонтирован. В соответствии с Постановлением администрации г. Оренбурга №2240-п от 12.09.2012 г. Должны быть выполнены работы согласно п. 3.6 данного Постановления.;82:Невежливое обслуживание в МФЦ:35;83:Некомпетентность специалиста МФЦ:33;81:Длительное время обслуживания в МФЦ:13;
76;Яма на всю дорогу...;32:Нескошенная трава вдоль тротуаров и обочин дорог:83;1:Нечитаемые поврежденные дорожные знаки:66;3:Стертая дорожная разметка:66;
77;Участок дороги 150 метров от ул. Новая (асфальтовое покрытие) до дома № 14 ул. Новая ( проезд во дворы к дому №257) - разрушено асфальтовое покрытие, ямы более 15 см глубиной и от 20 до 80-100 см в диаметре. При маневрировании автомобилей для объезда ям водители выезжают на пешеходный участок, что создает угрозу жизни пешеходам.;84:Содержание помещений МФЦ:42;59:Неудовлетворительное санитарное состояние транспортного средства:33;61:Несоблюдение маршрута:33;
78;На ул. Гомельской в г. Орске от пересечения с ул. Кременчугской до пересечения с ул. Короленко на дороге множество глубоких ям.;28:Скопление мусора в парках, скверах:44;27:Несвоевременная уборка территории контейнерной площадки:37;31:Нескошенная трава на придомовой территории:37;
79;Уже несколько лет там такие ямы, что приходится медленно объезжать их как по минному полю.;6:Неисправное освещение в парках:50;3:Стертая дорожная разметка:40;61:Несоблюдение маршрута:40;
80;на улице Карагандинской в районе трц Сокол смыло асфальт;4:Неисправное уличное освещение:60;30:Вытоптанный, заезженный газон:50;31:Нескошенная трава на придомовой территории:50;
81;"Дорога в СНТ Электрон, СНТ Кирпичник, СНТ Сады Гелиевого завода для сотен горожан становиться просто невыносимой из за отсутствия асвальтого покрытия от посёлка Ленина до конечной остановки. Гредернон покрытие в уластном состоянии. Пыль, тряска, вибрации люди испытывают ежедневно, а это в основном люди преклонного возраста. Люди ждут на остановках рейсовый автобус и глотают пыль от проходящего мимо транспорта.Нам необходимо асвальтовое покрытие на данном участке. Подумайте о людях!";6:Неисправное освещение в парках:42;81:Длительное время обслуживания в МФЦ:37;82:Невежливое обслуживание в МФЦ:36;
84;На пересечении ул. Гомельская и ул. Короленко у дома N121/13 в г. Орске выбоина перед колодцем, расположенным на проезжей части.;30:Вытоптанный, заезженный газон:50;28:Скопление мусора в парках, скверах:44;6:Неисправное освещение в парках:40;
85;Добрый день.тратуар местами отсутствует.;12:Ямы, выбоины, выступы на дороге, тротуаре:85;34:Ямы, выбоины, выступы на пешеходной дорожке, тротуаре:85;39:Неубранный снег, гололёд на проезжей части, тротуаре:85;
86;"Добрый день!По проспекту Гагарина 29 А рядом с магазином Чайка вдоль дороги очень плохое покрытие. Плитка в ужасном состоянии, шла и повредила ногу, ходим как по мирному полю";8:Неисправный светофор:33;83:Некомпетентность специалиста МФЦ:33;10:Повреждения остановочного павильона:24;
89;Яма на дороге. Ежедневно автомобилисты оставляют в ней колёса и подвеску.;32:Нескошенная трава вдоль тротуаров и обочин дорог:83;33:Нескошенная трава вдоль пешеходных дорожек с твердым покрытием в парках:71;65:Нарушения при проведении экзаменов:37;
90;Ямы, выбоины, выступы на дороге. Разбитый тротуар.;12:Ямы, выбоины, выступы на дороге, тротуаре:85;34:Ямы, выбоины, выступы на пешеходной дорожке, тротуаре:85;15:Открытый (просевший) люк или ливневка на дороге:83;
91;"На проезжей части (пешеходный переход) по адресу ,пр. Победы 118 образовался провал.Увеличение ямы приведет к опасной ситуации при маневрах автомобилей.По этому переходу дети идут в школу и детский сад.Прошу в кратчайшие сроки произвести ремонт дороги.";28:Скопление мусора в парках, скверах:42;46:Некачественное содержание катков:40;59:Неудовлетворительное санитарное состояние транспортного средства:37;
96;Глубокая яма на проезжей части;14:Подтопление проезжей части:60;30:Вытоптанный, заезженный газон:50;56:Проблемы при организации направления одаренного ребенка в федеральные детские центры "Артек", "Смена", "Орленок":50;
97;Проблема возникла в связи с переносом остановки МЖК. остановку перенесли, карман сделали. Но теперь попасть с этой остановки на ул. Конституции и Березки будет невозможно. Раньше рядом с регулируемым переходом была асфальтированная дорожка к улицам конституции и Березки. Теперь эта дорожка оказалась за остановкой. Новой дорожки не сделали и не уже ремонт закончен. В итоге, хотели как лучше, а получилось, что остановка МЖК доступна теперь только для жителей МЖК. У нас в доме Березки 2/5 проживают два инвалида по зрению, мамочки с колясками куда? Только в грязь. Причём те, кто ремонтировали ул. Конституции подумали об этом тротуаре, и сделали заход на дорожку. но хозяина в городе нет. Одного.;8:Неисправный светофор:11;57:Проблемы при организации направления одаренного ребенка в организации отдыха детей и их оздоровления, расположенные на Черноморском побережье:9;36:Некачественный уход за деревьями, кустарниками вдоль пешеходных дорожек, тротуаров (кронирование, вырубка сухостоев, ликвидация аварийных деревьев) в парках:8;
98;Остановка 1 городская больница. Спуск в подземный переход .;29:Грязь, мусор на остановке:88;49:Неубранный снег, наледь на остановке:88;72:Несанкционированное размещение граффити на городских и муниципальных объектах:77;
99;Добрый день! Отремонтируйте, пожалуйста, ямы!;67:Незаконный сбор денег в образовательных организациях:60;21:Неисправность недоступность инфраструктуры для маломобильных граждан колясок на дорогах:50;22:Неисправное освещение на дорогах:50;
100;По проспекту Гагарина 44/3 выбоины на тратуаре повсеместно, тяжело гулять с детьми или коляской.;12:Ямы, выбоины, выступы на дороге, тротуаре:75;17:Реклама на тротуаре:75;19:Реклама на тротуаре вдоль дорог:75;
101;Тротуар не доделали, бросили, работы больше не ведутся на этом месте. Зачем сняли ровное хорошее покрытие, чтоб мы ноги ломали по камням?;80:Ненадлежащее состояние малых архитектурных форм (качели, карусели и пр.):50;66:Питание в образовательных организациях или организация питания в учебных заведениях:42;72:Несанкционированное размещение граффити на городских и муниципальных объектах:42;
